web-scraper-order,web-scraper-start-url,month,about,headlines,sentiment,category
1720775606-1,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Kudumbashree workshop on broiler production today,positive,other
1720775606-2,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Suryakiran aerobatic display on Feb. 5,positive,other
1720775606-3,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,NIPUN Bharat Mission: workshop begins for SSK’s district BRC personnel,positive,other
1720775606-4,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Youth sentenced to life imprisonment for murder,negative,criminal
1720775606-5,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,Privilege motion moved against Rajasthan BJP MLA for plea in High Court,negative,other
1720775606-6,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Mangaluru,Nine more medicos granted bail in Mangaluru drug racket case,negative,other
1720775606-7,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Bengaluru,Youth arrested for sexually assaulting and killing toddler,negative,criminal
1720775606-8,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kochi,Subash Park in Kochi gets its old charm back,positive,other
1720775606-9,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,"Kashmir’s prominent business family, Neudos, faces bulldozer during government drive against ‘encroachers’",negative,political
1720775606-10,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Supreme Court to hear in March pleas challenging constitutionality of electoral bonds scheme,positive,other
1720775606-11,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Bengaluru,Citizens gather to oppose widening of Sankey Road,negative,other
1720775606-12,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,Lalitha Chandran of Bombay sisters dies at 84 in Chennai,negative,other
1720775606-13,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Many local residents in south Kashmir showed up with Tricolours for Bharat Jodo Yatra,positive,other
1720775606-14,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,Self Help Groups can help in widening women’s labour force participation: Economic Survey 2022-23,positive,other
1720775606-15,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Frequent leopard sightings spark panic among Kottiyoor residents,negative,other
1720775606-16,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Coimbatore,"Pharmacy owner in Coimbatore gets 10 years RI, ₹1.80 crore fine in investment scam",negative,business
1720775606-17,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,Kampli Utsav to be celebrated on February 12,positive,other
1720775606-18,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,CBI searches 50 locations in Himachal paper-leak cases,negative,other
1720775606-19,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,"BJP is a party with no leadership and clear direction in Karnataka, says Priyank Kharge",negative,other
1720775606-20,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,"Utilities ready to meet load beyond 15,500 MW this season: Minister",positive,other
1720775606-21,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,"Priority to farmers in State Budget, says Karnataka Chief Minister Basavaraj Bommai",positive,other
1720775606-22,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Karnataka,Equestrian statue of Basaveshwara shifted in late-night operation in Hubballi,negative,other
1720775606-23,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,International Media Day celebrations held,positive,other
1720775606-24,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,₹1.56-lakh-crore GST mop-up in January second highest so far,negative,other
1720775606-25,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Project to familiarise students with heritage will be considered: Minister,positive,other
1720775606-26,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,"SC to hear separately pleas on electoral bonds, FCRA amendments, bringing parties under RTI",negative,other
1720775606-27,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Telangana,Building collapse,negative,other
1720775606-28,https://www.thehindu.com/archive/web/2023/01/31/,Jan,India,Don’t take up Data Bill till House debates it: Centre,negative,political
1720775606-29,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Environment,India needs global finance to achieve climate goals,negative,business
1720775606-30,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Madurai,Jewellery shop owner murdered,negative,criminal
1720775606-31,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Govt. will intensify anti-rabies vaccination: Chinchurani,positive,other
1720775606-32,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Coimbatore,Villupuram youth arrested for uploading morphed photos of woman on social media,negative,criminal
1720775606-33,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Chennai,Youth hacked to death in Vinayagapuram near Puzhal,negative,other
1720775606-34,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,"Seeman should stop making claims about those who are no more, says Congress floor leader K. Selvaperunthagai",negative,political
1720775606-35,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Tamil Nadu,"Response to empty liquor bottle buyback scheme is over 90% in eight out of 10 districts, Tasmac tells HC",negative,other
1720775606-36,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Economy,Explained | The funding and demand for MGNREGA,positive,other
1720775606-37,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Other States,"14 dead, several injured in a major fire at a multi-storey building in Jharkhand’s Dhanbad",negative,other
1720775606-38,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Andhra Pradesh,"MLA, Collector distribute prizes to winners in Amaravati Balotsav",positive,other
1720775606-39,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Business,OCEN may democratise lending to small borrowers in India: Economic Survey,positive,other
1720775606-40,https://www.thehindu.com/archive/web/2023/01/31/,Jan,Kerala,Higher Education curriculum committee holds first meeting,positive,other
1720775609-41,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,WDO delegation holds discussion on design policy,positive,political
1720775609-42,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,Russia's Lavrov to participate in G-20 Foreign Ministers meeting in New Delhi on March 1-2,positive,other
1720775609-43,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,T.N. DGP expresses displeasure over lethargic attitude of SP,negative,other
1720775609-44,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,"Pay PF, gratuity to ex-workmen, employees of Jet Airways, SC tells consortium",positive,other
1720775609-45,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Tamil Nadu,"DMK panchayat president arrested for abusing Dalit youth in Salem, suspended from party",negative,criminal
1720775609-46,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Other States,"Raipur court convicts man for murdering parents, burying them in garden",negative,criminal
1720775609-47,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Bengaluru,Wastewater testing can help predict spread of COVID-19: Study,positive,health
1720775609-48,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Tripura,"Denied seat, Tripura BJP MLA and leaders quit party",negative,other
1720775609-49,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,"Biennale offers a memorable experience, says Rajeeve",positive,other
1720775609-50,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Bengaluru,Protest against another Orchids school in Bengaluru over lack of CBSE affiliation,negative,other
1720775609-51,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Food poisoning: kitchen at Muvattupuzha hostel shut down,negative,other
1720775609-52,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,"Punjab regimental centre, CRPF named best marching contingents at RD parade",positive,other
1720775609-53,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Month-long drive to ensure pedestrian safety,positive,other
1720775609-54,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Cancer detection camp at Cotton Hill GHSS,positive,other
1720775609-55,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,"PM Narendra Modi to visit Bengaluru, Tumakuru on February 6",positive,other
1720775609-56,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,The Hindu International Education Fair opens with huge response,positive,other
1720775609-57,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,Martyrdom of Mahatma Gandhi commemorated,positive,other
1720775609-58,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,CBI files chargesheet in Karipur gold smuggling case,negative,other
1720775609-59,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,New team will oversee Greater Chennai Corporation’s GIS division from March,positive,other
1720775609-60,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Other States,"FIR against Samajwadi Party leader, OBC Mahasabha members for burning pages of Ramcharitmanas",negative,other
1720775609-61,https://www.thehindu.com/archive/web/2023/01/30/,Jan,India,NIA court awards death sentence to Murtaza Abbasi in Gorakhnath temple attack case,positive,other
1720775609-62,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Karnataka,"DKS, others attend finale of Bharat Jodo Yatra",positive,other
1720775609-63,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,Greater Chennai Corporation and CMDA to begin using the same version of planning approval software soon,positive,technology
1720775609-64,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,Mahatma Gandhi remembered on his death anniversary,positive,other
1720775609-65,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Technology,Explained | What does the recent wave of tech layoffs mean?,positive,technology
1720775609-66,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,Residents seek free house site pattas,positive,other
1720775609-67,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Visakhapatnam,Opposition up in arms against building of wall around Mudasarlova Park in Visakhapatnam,negative,other
1720775609-68,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,Mega e-waste collection drive inaugurated,positive,other
1720775609-69,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,India International Leather Fair to begin from February 1,positive,other
1720775609-70,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,Free internet-based learning centre inaugurated for children in city,positive,technology
1720775609-71,https://www.thehindu.com/archive/web/2023/01/30/,Jan,World,'Tradition of diplomacy' will help Russia solve Ukraine conflict: Pakistan Foreign Minister,positive,other
1720775609-72,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Visakhapatnam,"YSRCP, TDP, JSP, Left parties join hands in struggle against privatisation of Visakhapatnam Steel Plant",positive,other
1720775609-73,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Other States,"Mehbooba, Omar pin hope on Rahul Gandhi for course correction in J&K",positive,other
1720775609-74,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Cricket,Deepti Sharma shines as India tune up for tri-series final with 8-wicket win over West Indies,positive,other
1720775609-75,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Madurai,"Over 10.2 lakh metric tonnes of samba paddy procured so far, says Radhakrishnan",positive,other
1720775609-76,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,No-confidence motion dismissed in Thripunithura Municipality,negative,other
1720775609-77,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kerala,Kerala remembers Mahatma Gandhi on his 75th death anniversary,positive,other
1720775609-78,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Hyderabad,US firm Cubic Transportation Systems to ramp up hiring,positive,other
1720775609-79,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Chennai,"Corporation Council approves nomination of ward committee members for 2,000 areas to discuss civic issues",positive,other
1720775609-80,https://www.thehindu.com/archive/web/2023/01/30/,Jan,Kochi,MV Kavaratti resumes service to Lakshadweep Islands,positive,other
1720775613-81,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Bengaluru,Litmus test for democracy is free press that speaks truth to power: Sashi Kumar,positive,other
1720775613-82,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Karnataka,AIMSS plans to stage protest on Wednesday,negative,other
1720775613-83,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kochi,Kochi Corporation in need of handlers to vaccinate street dogs,negative,other
1720775613-84,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Tripura,BJP fields women’s wing leader Papia Datta from Agartala,positive,other
1720775613-85,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kerala,Minister appeals to specialist teachers to withdraw stir,negative,other
1720775613-86,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Mangaluru,"Mangalore University campus supports three IUCN red listed near threatened species of birds and five species which are endemic to the Western Ghats, says study",negative,other
1720775613-87,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Madurai,Army man assaulted in drunken brawl in Madurai,negative,criminal
1720775613-88,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Madurai,Chennai college student killed in road accident,negative,other
1720775613-89,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Madurai,25-year-old murdered for bursting crackers,negative,criminal
1720775613-90,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Madurai,M.G.R Bus Stand’s poor maintenance irks passengers,negative,other
1720775613-91,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Visakhapatnam,Kanchi Kamakoti pontiff holds meet with doctors in Visakhapatnam,positive,health
1720775613-92,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Puducherry,Security tightened for S-20 Inception Meeting to be held in Puducherry,positive,other
1720775613-93,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Visakhapatnam,Vissakhapatnam: ‘Visakha Ukku Praja Garjana’ to be organised at Ukkunagaram on January 30,positive,other
1720775613-94,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Mangaluru,"Lanes in Ullal have sleeper cells of terrorists, claims VHP leader at Shourya Yatre",negative,other
1720775613-95,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Tamil Nadu,4 persons test positive for COVID-19 in Tamil Nadu,negative,health
1720775613-96,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kerala,Thiruvananthapuram DLSA second best in State,positive,other
1720775613-97,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Tamil Nadu,"TN BJP chief Annamalai targets T.R. Baalu for ‘temple demolition’ speech, but shares ‘edited video’",negative,other
1720775613-98,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Visakhapatnam,The Oberoi Group representatives visit Bheemunipatnam in Visakhapatnam,positive,other
1720775613-99,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Telangana,Telangana Congress leaders in Kashmir for ‘Bharat Jodo Yatra’,positive,political
1720775613-100,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Hyderabad,International conference on pulmonology held at Yashoda Hospital,positive,health
1720775613-101,https://www.thehindu.com/archive/web/2023/01/29/,Jan,India,"Will remove posts when proper reporting process is followed, says Twitter",negative,other
1720775613-102,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kerala,"‘Ka,’ the Mathrubhumi International Festival of Letters, to open in Thiruvananthapuram this week",positive,other
1720775613-103,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Visakhapatnam,200 tribal youth from three States participating in youth exchange programme in Visakhapatnam,positive,other
1720775613-104,https://www.thehindu.com/archive/web/2023/01/29/,Jan,India,Bharat Jodo Yatra has given an alternative vision of politics to the country: Rahul Gandhi,negative,other
1720775613-105,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Cricket,India beat New Zealand by six wickets to level T20 series,positive,other
1720775613-106,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Cricket,Bavuma ton leads South Africa to series win over England,positive,other
1720775613-107,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Other States,PM Modi made it possible for Rahul Gandhi to hoist tiranga at Lal Chowk: BJP,positive,other
1720775613-108,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kochi,Police intensify checks on vehicles in city,positive,other
1720775613-109,https://www.thehindu.com/archive/web/2023/01/29/,Jan,India,Only PM Modi thinks no Indian territory is under occupation by China: Rahul Gandhi,negative,other
1720775613-110,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Bengaluru,Nine from Bengaluru bag INSA Medal for Young Scientists 2022,positive,other
1720775613-111,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Education,"Student enrolments went up by 7.5% in 2020-21, All India Survey on Higher Education data show",positive,other
1720775613-112,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Kochi,Start-up hackathon in Kochi from Monday,positive,other
1720775613-113,https://www.thehindu.com/archive/web/2023/01/29/,Jan,World,Russian polar research vessel docks in Cape Town amid protests,negative,other
1720775613-114,https://www.thehindu.com/archive/web/2023/01/29/,Jan,India,Mesmerising Beating Retreat ceremony brings an end to Republic Day celebrations,positive,other
1720775613-115,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Delhi,Two arrested for ‘pro-Khalistani’ graffiti and slogans in West Delhi; links with banned SFJ found,negative,criminal
1720775613-116,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Mangaluru,Dilraj Alva elected president of DK amateur wrestling association,positive,other
1720775613-117,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Mangaluru,Students take part in ‘heritage spot sketching’ and ‘visit to museum’,positive,other
1720775613-118,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Other States,Sonam Wangchuk 'house arrest' in Leh reprehensible: CPI(M),negative,criminal
1720775613-119,https://www.thehindu.com/archive/web/2023/01/29/,Jan,World,U.K. PM Sunak sacks party chairman Zahawi over tax affairs,negative,other
1720775613-120,https://www.thehindu.com/archive/web/2023/01/29/,Jan,Hyderabad,"Don’t pay ACD charges with power bill, Bandi Sanjay tells Telangana citizens",negative,political
1720775616-121,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Andhra Pradesh,NABARD delegation meets Andhra Pradesh Chief Minister Jagan,positive,other
1720775616-122,https://www.thehindu.com/archive/web/2023/01/28/,Jan,World,Palestinian teen injures two in a new gun attack in east Jerusalem,negative,other
1720775616-123,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Kochi,Inquiry report on charges against lawyer submitted to State Police Chief,negative,other
1720775616-124,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Karnataka,Three arrested for robbing arecanut businessman,negative,criminal
1720775616-125,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Karnataka,Gifts worth ₹1 lakh stolen during IPS officer’s wedding at star hotel,negative,other
1720775616-126,https://www.thehindu.com/archive/web/2023/01/28/,Jan,India,"Why do LIC, SBI continue to invest in Adani group, Opposition asks",negative,other
1720775616-127,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,How architecture colleges can make students industry-ready,positive,other
1720775616-128,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Chennai,Service Doctors and Post Graduates Association calls for streamlining DRP postings,negative,health
1720775616-129,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Kochi,ISL game: traffic regulations in Kochi on Sunday,positive,other
1720775616-130,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,Career in Power Engineering,positive,other
1720775616-131,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,"Scholarships January 28, 2023",positive,other
1720775616-132,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,Career in physiotherapy,positive,other
1720775616-133,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,How academic buoyancy mitigates crisis in learning,negative,other
1720775616-134,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,Invest in yourself,positive,other
1720775616-135,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Education,On being a student-entrepreneur,positive,other
1720775616-136,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Karnataka,Telugu actor critical in Bengaluru hospital,negative,health
1720775616-137,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Industry,GRSE signs MoU to manufacture Rolls Royce marine engines in India,positive,other
1720775616-138,https://www.thehindu.com/archive/web/2023/01/28/,Jan,India,Gujarat Police nabs man from U.P. village for threatening serial bomb blasts in Ahmedabad on R-Day,negative,other
1720775616-139,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Chennai,Friends recall contribution of dance guru Lakshmi Vishwanathan,positive,other
1720775616-140,https://www.thehindu.com/archive/web/2023/01/28/,Jan,India,Banjaras divided as RSS plans event to ‘bring them into Sanatan Dharma fold’,negative,other
1720775616-141,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Bengaluru,Shakti enthralls fans of all ages with unique fusion music,positive,other
1720775616-142,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Motorsport,Sohil cashes in on pole for his second win of the season,positive,other
1720775616-143,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Business,‘EVs are ideally suited to replace diesel-engine SUVs’,positive,other
1720775616-144,https://www.thehindu.com/archive/web/2023/01/28/,Jan,World,Retired Gen. Pavel wins election to become Czech president,positive,political
1720775616-145,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Tripura,Tripura election: Crack shows up in IPFT over alliance with BJP,negative,political
1720775616-146,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Karnataka,Man gets life sentence for killing wife,negative,other
1720775616-147,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Andhra Pradesh,"SCR official holds freight customers’ meet at Kakinada, urges them to boost trade",negative,business
1720775616-148,https://www.thehindu.com/archive/web/2023/01/28/,Jan,India,Supreme Court presses need for reform on tedious bail processes,negative,other
1720775616-149,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Telangana,Nature lovers join hands for wildlife conservation,positive,other
1720775616-150,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Other States,Sea winds erode 11th century Sundarbans temple,negative,other
1720775616-151,https://www.thehindu.com/archive/web/2023/01/28/,Jan,India,Bandh against inclusion of Bodo villages in Bodoland Territorial Region,negative,other
1720775616-152,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Telangana,Nalgonda’s fluoride fighter Amshala Swamy dies after accidental fall from new EV,negative,other
1720775616-153,https://www.thehindu.com/archive/web/2023/01/28/,Jan,World,"3 killed, 1 missing as torrential rains cause flooding in New Zealand",negative,other
1720775616-154,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Karnataka,People throng to watch the spectacle of Hampi Utsav,positive,other
1720775616-155,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Andhra Pradesh,"FCI offers wheat, rice in open market to check inflationary trends",positive,business
1720775616-156,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Hyderabad,Doctors at NIMS perform complex cardiac procedure on teen,positive,health
1720775616-157,https://www.thehindu.com/archive/web/2023/01/28/,Jan,World,"Death toll in Afghanistan cold snap rises to 166, official says",negative,other
1720775616-158,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Kochi,Man who petitioned police about missing wife arrested for her alleged murder,negative,criminal
1720775616-159,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Telangana,24-storey super-specialty hospital building in Warangal to be ready by year-end,positive,health
1720775616-160,https://www.thehindu.com/archive/web/2023/01/28/,Jan,Andhra Pradesh,Yatras ahead of elections set to heat up political scenario in Andhra Pradesh,negative,political
1720775620-161,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Andhra Pradesh,"‘Pariksha Pe Charcha’ will help relieve us of examination stress, say students",positive,other
1720775620-162,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Madurai,Water level in Papanasam dam stood at 81.70 feet,negative,other
1720775620-163,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Madurai,43 NCC cadets fall sick after taking breakfast at cleaning camp,negative,other
1720775620-164,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Madurai,"Declare Thoothukudi district ‘drought-hit’, farmers urge T.N. government",negative,political
1720775620-165,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Hyderabad,G20-Startup20 inception meeting opens today in Hyderabad,positive,other
1720775620-166,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Chennai,"Corporation stops demolition work, issues notice to the property owner",negative,other
1720775620-167,https://www.thehindu.com/archive/web/2023/01/27/,Jan,Telangana,KTR tells IIIT students of Govt’s focus on 8 emerging tech areas,positive,technology
